station,longitude,latitude,county
ACTON POLICE DEPT,-71.4448682,42.4803275,Middlesex County
AUBURN POLICE DEPT,-71.8478424,42.1971104,Worcester County
BARNSTABLE POLICE DEPT,-70.3123421,41.6752385,Barnstable County
BELCHERTOWN POLICE DEPT,-72.4148061,42.2710957,Hampshire County
BERKSHIRE COUNTY SHERIFFS OFFICE,-73.209942,42.485848,Berkshire County
BLACKSTONE POLICE DEPT,-71.5331214,42.0175067,Worcester County
BRISTOL COUNTY SHERIFF DEPT,-70.9949484,41.6657124,Bristol County
BROOKFIELD POLICE DEPT,-72.1005636,42.2156811,Worcester County
CENTRAL MA LAW ENFORCEMENT,-71.7981107,42.270917,Worcester County
CHARLTON POLICE DEPT,-71.9746954,42.1395658,Worcester County
CHATHAM POLICE DEPARTMENT,-69.9923641,41.6895796,Barnstable County
CHELSEA POLICE DEPT,-71.0398996,42.3890463,Suffolk County
CHICOPEE POLICE DEPT,-72.5848579,42.1561525,Hampden County
CLINTON POLICE DEPT,-71.6826528,42.4151025,Worcester County
COHASSET POLICE DEPT,-70.7987556,42.2408502,Norfolk County
CUMMINGTON POLICE DEPT,-72.8900151,42.4574067,Hampshire County
DALTON POLICE DEPT,-73.1694871,42.4727299,Berkshire County
DARTMOUTH HARBORMASTER,-70.9453866,41.5864285,Bristol County
DARTMOUTH POLICE DEPT,-70.960177,41.6026739,Bristol County
DHS/ICE/HSI BOSTON,-71.0667972,42.3347805,Suffolk County
DIGHTON POLICE DEPT,-71.1208082,41.8270379,Bristol County
DOJ/USMS BOSTON,-71.0471618,42.354174,Suffolk County
DUXBURY POLICE DEPT,-70.700082,42.033651,Plymouth County
EASTON POLICE,-71.1086552,42.0562311,Bristol County
EVERETT POLICE DEPT,-71.0446928,42.4125447,Middlesex County
FAIRHAVEN POLICE DEPT,-70.8931243,41.6396312,Bristol County
FALL RIVER POLICE DEPT,-71.1439976,41.6968937,Bristol County
FOXBOROUGH POLICE DEPT,-71.258373,42.0752832,Norfolk County
FRAMINGHAM POLICE DEPT,-71.4174331,42.2805319,Middlesex County
FRANKLIN POLICE DEPT,-71.4118912,42.0910405,Norfolk County
FREETOWN POLICE DEPT,-71.0148391,41.7640237,Bristol County
GLOUCESTER POLICE DEPT,-70.6609321,42.6127961,Essex County
GOSHEN POLICE DEPT,-72.799148,42.4411192,Hampshire County
GRAFTON POLICE DEPT,-71.6931734,42.209606,Worcester County
GROTON POLICE DEPT,-71.579651,42.6083106,Middlesex County
GROVELAND POLICE DEPT,-71.0243202,42.7679332,Essex County
HADLEY POLICE DEPT,-72.5832007,42.3525404,Hampshire County
HANSON POLICE DEPT,-70.869947,42.0397749,Plymouth County
HARWICH POLICE DEPT,-70.0817926,41.6806831,Barnstable County
HAVERHILL POLICE DEPT,-71.0796033,42.7757034,Essex County
HINGHAM POLICE DEPT,-70.8869134,42.2317459,Plymouth County
HINSDALE POLICE DEPARTMENT,-73.122744,42.43764,Berkshire County
HOLLISTON POLICE DEPT,-71.4271968,42.2073643,Middlesex County
HULL POLICE DEPT,-70.8457114,42.2653112,Plymouth County
IPSWICH POLICE DEPT,-70.8362087,42.6781493,Essex County
LAWRENCE POLICE DEPT,-71.1651021,42.7081815,Essex County
LEOMINSTER POLICE DEPT,-71.7606515,42.5277427,Worcester County
LEXINGTON POLICE DEPT,-71.2234211,42.44659,Middlesex County
LEYDEN POLICE DEPT,-72.63,42.7,Franklin County
LYNN POLICE DEPT,-70.9488902,42.4655418,Essex County
MANCHESTER BY THE SEA POLICE DEPT,-70.772293,42.574866,Essex County
MANSFIELD POLICE DEPT,-71.2186936,42.0236919,Bristol County
MARBLEHEAD POLICE DEPT,-70.8595796,42.4966244,Essex County
