GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,SUBHD02010101,SUBHD02010102,SUBHD02010103,SUBHD02010104,SUBHD02010105,SUBHD02010106,SUBHD020102,SUBHD0202,SUBHD0203
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic Area1,Total population,Percent of total population - Race - One Race - White,Percent of total population - Race - One Race - Black or African American,Percent of total population - Race - One Race - American Indian and Alaska Native,Percent of total population - Race - One Race - Asian,Percent of total population - Race - One Race - Native Hawaiian and Other Pacific Islander,Percent of total population - Race - One Race - Some Other Race,Percent of total population - Race - Two or More Races,Percent of total population - Hispanic or Latino (of any race),"Percent of total population - White Alone, not Hispanic or Latino"
0400000US25,25,Massachusetts,0400000US25,25,Massachusetts,Massachusetts,6547629,80.4,6.6,0.3,5.3,0,4.7,2.6,9.6,76.1
0400000US25,25,Massachusetts,1600000US2500135,2500135,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Abington CDP, Plymouth County","Abington CDP, Plymouth County",15985,92.5,2.1,0.3,1.8,0,1.9,1.4,1.9,91.4
0400000US25,25,Massachusetts,0600000US2502300170,2502300170,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Abington town, Plymouth County","Abington town, Plymouth County",15985,92.5,2.1,0.3,1.8,0,1.9,1.4,1.9,91.4
0400000US25,25,Massachusetts,0600000US2501700380,2501700380,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Acton town, Middlesex County","Acton town, Middlesex County",21924,77.3,1.1,0.1,18.6,0,1.2,1.7,2.6,75.5
0400000US25,25,Massachusetts,0600000US2500500520,2500500520,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Acushnet town, Bristol County","Acushnet town, Bristol County",10303,97.2,0.5,0.2,0.3,0,0.8,1.1,1.2,96.3
0400000US25,25,Massachusetts,1600000US2500530,2500530,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Acushnet Center CDP, Bristol County","Acushnet Center CDP, Bristol County",3073,96.3,0.5,0.3,0.4,0,0.8,1.7,1.1,95.7
0400000US25,25,Massachusetts,0600000US2500300555,2500300555,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Adams town, Berkshire County","Adams town, Berkshire County",8485,96.9,0.7,0.2,0.5,0,0.2,1.5,1.2,96.2
0400000US25,25,Massachusetts,1600000US2500590,2500590,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Adams CDP, Berkshire County","Adams CDP, Berkshire County",5515,96.7,0.6,0.2,0.6,0,0.2,1.7,1,96
0400000US25,25,Massachusetts,1600000US2500840,2500840,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Agawam Town city, Hampden County","Agawam Town city, Hampden County",28438,94.6,1.5,0.2,1.8,0,0.7,1.2,3.3,92.4
0400000US25,25,Massachusetts,0600000US2500300975,2500300975,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Alford town, Berkshire County","Alford town, Berkshire County",494,97.8,0.6,0,0.6,0,0,1,0.4,97.4
0400000US25,25,Massachusetts,1600000US2501260,2501260,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Amesbury Town city, Essex County","Amesbury Town city, Essex County",16283,96.3,0.7,0.2,0.7,0,0.6,1.4,1.9,95.1
0400000US25,25,Massachusetts,0600000US2501501325,2501501325,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Amherst town, Hampshire County","Amherst town, Hampshire County",37819,76.9,5.4,0.2,10.9,0,2.4,4.1,7.3,73.3
0400000US25,25,Massachusetts,1600000US2501360,2501360,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Amherst Center CDP, Hampshire County","Amherst Center CDP, Hampshire County",19065,78.9,5.5,0.2,9.5,0,1.9,3.8,6.6,75.6
0400000US25,25,Massachusetts,1600000US2501430,2501430,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Andover CDP, Essex County","Andover CDP, Essex County",8762,89.4,1.7,0.1,5.1,0.1,1.5,2,4.3,87.1
0400000US25,25,Massachusetts,0600000US2500901465,2500901465,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Andover town, Essex County","Andover town, Essex County",33201,85.4,1.2,0.1,10.4,0,1.3,1.7,3.6,83.4
0400000US25,25,Massachusetts,0600000US2500701585,2500701585,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Aquinnah town, Dukes County","Aquinnah town, Dukes County",311,57.6,1.6,26.7,0.3,0,1.9,11.9,4.8,55.9
0400000US25,25,Massachusetts,0600000US2501701605,2501701605,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Arlington town, Middlesex County","Arlington town, Middlesex County",42844,85.7,2.4,0.1,8.3,0,1,2.5,3.3,83.6
0400000US25,25,Massachusetts,1600000US2501640,2501640,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Arlington CDP, Middlesex County","Arlington CDP, Middlesex County",42844,85.7,2.4,0.1,8.3,0,1,2.5,3.3,83.6
0400000US25,25,Massachusetts,0600000US2502701885,2502701885,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Ashburnham town, Worcester County","Ashburnham town, Worcester County",6081,95.5,1,0.1,1.2,0,0.6,1.5,2.5,93.9
0400000US25,25,Massachusetts,0600000US2501701955,2501701955,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Ashby town, Middlesex County","Ashby town, Middlesex County",3074,97.1,0.4,0.2,0.3,0,0.4,1.6,1.9,96.1
0400000US25,25,Massachusetts,0600000US2501102095,2501102095,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Ashfield town, Franklin County","Ashfield town, Franklin County",1737,96.4,0.4,0.5,0.5,0,0.1,2.1,1.8,95
0400000US25,25,Massachusetts,0600000US2501702130,2501702130,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Ashland town, Middlesex County","Ashland town, Middlesex County",16593,84.2,2.4,0.1,8.8,0,2.6,1.9,4.5,81.5
0400000US25,25,Massachusetts,0600000US2502702480,2502702480,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Athol town, Worcester County","Athol town, Worcester County",11584,95.3,1,0.3,0.7,0,1,1.8,3.6,93.3
0400000US25,25,Massachusetts,1600000US2502515,2502515,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Athol CDP, Worcester County","Athol CDP, Worcester County",8265,94.8,1,0.3,0.9,0,1,1.9,3.9,92.4
0400000US25,25,Massachusetts,1600000US2502690,2502690,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Attleboro city, Bristol County","Attleboro city, Bristol County",43593,87.1,3,0.2,4.5,0.1,2.8,2.2,6.3,84
0400000US25,25,Massachusetts,0600000US2502702760,2502702760,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Auburn town, Worcester County","Auburn town, Worcester County",16188,94.9,1.1,0.1,1.8,0,0.6,1.4,2.6,93.2
0400000US25,25,Massachusetts,0600000US2502102935,2502102935,"Massachusetts - PLACE AND COUNTY SUBDIVISION - Avon town, Norfolk County","Avon town, Norfolk County",4356,84,10,0.1,2.8,0,1.5,1.7,2.8,83
