Item Name,cat
"ABRASIVE MATERIALS, UNUSED",0
"ABSORBENT PAD,FLUID,MEDICAL",0
"ACCESSORY KIT,ANTENNA",0
"ACCESSORY KIT,GHILLIE SUIT",0
"ACCESSORY KIT,PRESSURE TANK",0
"ACCESSORY KIT,UMBRE",0
"ACCESSORY OUTFIT,GASOLINE FIELD RANGE",0
ACCESSORY RAIL ASSE,0
"ACCESSORY SET,PARACHUTE,SCUBA ADAPTING",0
ACCOUNTING AND CALCULATING MACHINES,0
ACOG KIT           ,2
ACOUSTIC SUPPR KIT,2
ACOUSTICAL INSTALLATION,0
"ACTUATOR ASSY,POSIT",0
"ACTUATOR,ELECTRIC  ",0
"ACTUATOR,ELECTRO-MECHANICAL,LINEAR",0
"ACTUATOR,ELECTRO-MECHANICAL,ROTARY",0
"ADAP,AUDIO,KEYFILL ",0
ADAPTER 8-32 THREAD,0
ADAPTER ANTENNA    ,0
"ADAPTER ASSEMBLY,DA",0
"ADAPTER ASSEMBLY,INTERFACE DEVICE",0
"ADAPTER ASSY,HEATER",0
"ADAPTER ASSY,TORQUE",0
ADAPTER FLIP UP    ,0
"ADAPTER GROUP,RADIO",0
"ADAPTER KIT,BALANCI",0
"ADAPTER KIT,GREASE GUN COUPLING",0
"ADAPTER RAIL,WEAPON MOUNTED",0
"ADAPTER RAIL,WEAPON MOUNTED,M4",0
"ADAPTER RAIL,WEAPON MOUNTED,M5",0
"ADAPTER, ELECTRICAL",0
"ADAPTER, PIPE/HOSE",0
"ADAPTER,AIRCRAFT HOISTING",0
"ADAPTER,ANTENNA TO ANTENNA BASE",0
"ADAPTER,ANTENNA TO TRANSMITTER",0
"ADAPTER,ANTIBACKLAS",0
"ADAPTER,BATTERY TERMINAL",0
"ADAPTER,CAP ASSEMBL",0
"ADAPTER,CARRIER PLATE",0
"ADAPTER,CONNECTOR",0
"ADAPTER,CONNECTOR,FIBER OPTIC",0
"ADAPTER,DRINKING SYSTEM",0
"ADAPTER,DRIVESHAFT ",0
"ADAPTER,DRIVESHAFT,",0
"ADAPTER,ENGINE CONT",0
"ADAPTER,GOGGLES,NIGHT VISION",0
"ADAPTER,GREASE GUN COUPLING",0
"ADAPTER,HEADSET",0
"ADAPTER,HEADSET-MICROPHONE",0
"ADAPTER,HOISTING,RE",0
"ADAPTER,HOLDING,MAI",0
"ADAPTER,INPUT SHAFT",0
"ADAPTER,K-BAR,MOLLE",0
"ADAPTER,LIFE RAFT,CABLE",0
"ADAPTER,MAST DRIVIN",0
"ADAPTER,MOLLE DIVE BELT",0
"ADAPTER,MOUNT,TRANSMISSION",0
"ADAPTER,NIGHT VISION VIEWER",0
"ADAPTER,OPTICAL BORESIGHT,83MM",0
"ADAPTER,POWER SUPPLY",0
"ADAPTER,PUMP,FUEL TRANSFER",0
"ADAPTER,SLING RAIL ",0
"ADAPTER,SOCKET WRENCH",0
"ADAPTER,SPLINED,TAI",0
"ADAPTER,TIE DOWN",0
"ADAPTER,TIE DOWN,AIRCRAFT",0
"ADAPTER,TORQUE WRENCH",0
"ADAPTER,TOWBAR,VEHICULAR",0
"ADAPTER,VEHICLE MBITR",3
"ADAPTER,VEHICULAR  ",0
"ADAPTOR KIT,TOW BAR.",0
"ADAPTOR,M4 MOUNTING",0
ADHESIVE,0
"ADHESIVE TAPE,SURGICAL",0
"ADHESIVE,MOLESKIN",0
"ADJUSTER ASSEMBLY,AIMING LIGHT",0
"ADJUSTER ASSEMBLY,ANTI-TORQUE CO NTROLS",0
"ADJUSTER,SLACK,BRAKE",0
"ADJUSTER,SLACK,TRACK",0
"ADJUSTING TOOL,COMB",0
"ADMINISTRATION SET,INFUSION PUMP",0
"ADMINISTRATION SET,INTRAVENOUS FLUIDS",0
"ADMINISTRATION SET,WINGED",0
ADP CABINET,0
ADP COMPONENTS,0
"ADP CPU, DIGITAL",0
"ADP CPU, DIGITAL, DEMIL REQ",0
ADP INPUT/OUTPUT AND STORAGE DEVICES,0
ADP SUPPLIES,0
ADP SUPPORT EQUIPMENT,0
"AED TRAINER,DEFIBRILLATOR",0
"AIMING LIGHT UNIT ASSEMBLY,INFRARED",2
"AIMING LIGHT,INFRAR",2
AIR BOTTLE         ,0
"AIR CLEANER,INTAKE",0
AIR COMPRESSOR     ,0
AIR CONDITIONER,0
"AIR CONDITIONER,3 TON",0
AIR CONDITIONERS   ,0
AIR DATA BOX ASSEMB,0
AIR PURIFICATION EQUIPMENT,0
"AIRCRAFT ACCESSORIES, COMPONENTS, MISC",0
AIRCRAFT COMPONENT,0
AIRCRAFT LANDING GEAR COMPONENTS,0
AIRCRAFT TIME COMPLIANCE TECHNICAL ORDER,0
"AIRCRAFT, FIXED WING",3
"AIRCRAFT, ROTARY WING",3
AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,3
