state,latitude,longitude,abr,cap,pop_2017,pop_2010,,,,
Alabama,32.806671,-86.79113,AL,Montgomery,4874747,4780127,,,,
Alaska,61.370716,-152.404419,AK,Juneau,739795,710249,,,,
Arizona,33.729759,-111.431221,AZ,Phoenix,7016270,6392307,,,,
Arkansas,34.969704,-92.373123,AR,Little Rock,3004279,2915958,,,,
California,36.116203,-119.681564,CA,Sacramento,39536653,37252895,,,,
Colorado,39.059811,-105.311104,CO,Denver,5607154,5029324,,,,
Connecticut,41.597782,-72.755371,CT,Hartford,3588184,3574118,,,,
Delaware,39.318523,-75.507141,DE,Dover,961939,897936,,,,
District of Columbia,38.897438,-77.026817,DC,None,693972,601767,,,,
Florida,27.766279,-81.686783,FL,Tallahassee,20984400,18804623,,,,
Georgia,33.040619,-83.643074,GA,Atlanta,10429379,9688681,,,,
Hawaii,21.094318,-157.498337,HI,Honolulu,1427538,1360301,,,,
Idaho,44.240459,-114.478828,ID,Boise,1716943,1567652,,,,
Illinois,40.349457,-88.986137,IL,Springfield,12802023,12831549,,,,
Indiana,39.849426,-86.258278,IN,Indianapolis,6666818,6484229,,,,
Iowa,42.011539,-93.210526,IA,Des Moines,3145711,3046869,,,,
Kansas,38.5266,-96.726486,KS,Topeka,2913123,2853132,,,,
Kentucky,37.66814,-84.670067,KY,Frankfort,4454189,4339349,,,,
Louisiana,31.169546,-91.867805,LA,Baton Rouge,4684333,4533479,,,,
Maine,44.693947,-69.381927,ME,Augusta,1335907,1328361,,,,
Maryland,39.063946,-76.802101,MD,Annapolis,6052177,5773785,,,,
Massachusetts,42.230171,-71.530106,MA,Boston,6859819,6547817,,,,
Michigan,43.326618,-84.536095,MI,Lansing,9962311,9884129,,,,
Minnesota,45.694454,-93.900192,MN,St. Paul,5576606,5303925,,,,
Mississippi,32.741646,-89.678696,MS,Jackson,2984100,2968103,,,,
Missouri,38.456085,-92.288368,MO,Jefferson City,6113532,5988927,,,,
Montana,46.921925,-110.454353,MT,Helena,1050493,989417,,,,
Nebraska,41.12537,-98.268082,NE,Lincoln,1920076,1826341,,,,
Nevada,38.313515,-117.055374,NV,Carson City,2998039,2700691,,,,
New Hampshire,43.452492,-71.563896,NH,Concord,1342795,1316466,,,,
New Jersey,40.298904,-74.521011,NJ,Trenton,9005644,8791936,,,,
New Mexico,34.840515,-106.248482,NM,Santa Fe,2088070,2059192,,,,
New York,42.165726,-74.948051,NY,Albany,19849399,19378087,,,,
North Carolina,35.630066,-79.806419,NC,Raleigh,10273419,9535692,,,,
North Dakota,47.528912,-99.784012,ND,Bismarck,755393,672591,,,,
Ohio,40.388783,-82.764915,OH,Columbus,11658609,11536725,,,,
Oklahoma,35.565342,-96.928917,OK,Oklahoma City,3930864,3751616,,,,
Oregon,44.572021,-122.070938,OR,Salem,4142776,3831073,,,,
Pennsylvania,40.590752,-77.209755,PA,Harrisburg,12805537,12702887,,,,
Rhode Island,41.680893,-71.51178,RI,Providence,1059639,1052931,,,,
South Carolina,33.856892,-80.945007,SC,Columbia,5024369,4625401,,,,
South Dakota,44.299782,-99.438828,SD,Pierre,869666,814191,,,,
Tennessee,35.747845,-86.692345,TN,Nashville,6715984,6346275,,,,
Texas,31.054487,-97.563461,TX,Austin,28304596,25146105,,,,
Utah,40.150032,-111.862434,UT,Salt Lake City,3101833,2763888,,,,
Vermont,44.045876,-72.710686,VT,Montpelier,623657,625745,,,,
Virginia,37.769337,-78.169968,VA,Richmond,8470020,8001045,,,,
Washington,47.400902,-121.490494,WA,Olympia,7405743,6724543,,,,
West Virginia,38.491226,-80.954453,WV,Charleston,1815857,1853011,,,,
Wisconsin,44.268543,-89.616508,WI,Madison,5795483,5687289,,,,
Wyoming,42.755966,-107.30249,WY,Cheyenne,579315,563767,,,,
